IZ F — 0..20 LONG BULGUSU MEKANIKTEN BAGIMSIZ MI?
================================================================================================
CLAUDE.md sirasi: HAM ileri getiri -> ticaret mekanigi. Ilk olcum ham'i ATLAMISTI.

### LONG
bant      olcum            N     ay ort      ay-t    poz ay
-40..0    HAM getiri    96523     -0.005     -0.01    12/25 
-40..0    A-stop+%10    24588     -0.112     -0.76    10/25 
-40..0    trailing     24588     -0.011     -0.12    10/25 

0..20     HAM getiri    89429     -0.390     -0.90    10/25 
0..20     A-stop+%10    37525     -0.406     -4.11     4/25 
0..20     trailing     37525     -0.210     -5.01     2/25 

20..40    HAM getiri     2353     +0.196     +0.19     9/24 
20..40    A-stop+%10     2301     +0.028     +0.14    11/23 
20..40    trailing      2301     +0.091     +0.61    14/23 

>40       HAM getiri      678     +2.284     +0.77     8/15 
>40       A-stop+%10      677     +0.776     +1.43     9/15 
>40       trailing       677     +2.379     +3.24    12/15 

### SHORT
bant      olcum            N     ay ort      ay-t    poz ay
-40..0    HAM getiri    96523     +0.005     +0.01    13/25 
-40..0    A-stop+%10    46365     -0.080     -0.51    11/25 
-40..0    trailing     46365     -0.080     -1.47    10/25 

0..20     HAM getiri    89429     +0.390     +0.90    15/25 
0..20     A-stop+%10    21575     +0.014     +0.14    16/25 
0..20     trailing     21575     -0.095     -2.26     6/25 

20..40    HAM getiri     2353     -0.196     -0.19    15/24 
20..40    A-stop+%10     1967     -0.271     -1.14     9/23 
20..40    trailing      1967     -0.256     -1.61     7/23 

>40       HAM getiri      678     -2.284     -0.77     7/15 
>40       A-stop+%10      637     -1.661     -2.55     2/14 
>40       trailing       637     -1.144     -2.29     3/14 

